sleep_hours,water_intake,exercise_minutes,stress_level,mood_score,wellness_status
9.9,5,35,7,6,Average
9.8,9,17,3,7,Good
7.6,10,38,9,6,Good
8.3,10,80,4,4,Excellent
5.3,6,87,6,3,Average
9.9,4,64,9,6,Average
8.3,7,71,8,10,Good
7.4,8,86,9,5,Good
9.3,8,1,9,2,Needs Attention
4.2,4,6,1,4,Needs Attention
5.6,4,36,5,3,Needs Attention
9.0,6,26,9,1,Needs Attention
6.2,9,13,10,9,Average
9.2,10,49,4,9,Excellent
8.7,6,88,1,7,Excellent
6.3,7,70,1,1,Good
8.5,5,79,8,4,Average
9.5,7,75,9,10,Good
5.2,5,37,8,3,Needs Attention
9.9,3,23,3,9,Good
4.7,2,54,5,9,Average
5.6,4,74,5,1,Needs Attention
6.0,4,5,3,6,Average
7.6,6,62,10,9,Good
6.1,7,67,4,3,Good
7.1,10,20,7,9,Good
7.2,3,44,4,4,Average
8.0,7,46,5,4,Excellent
9.7,10,60,9,1,Average
4.7,7,57,4,10,Good
9.5,5,5,6,7,Average
9.5,3,49,5,9,Good
8.3,2,66,6,9,Good
8.8,9,62,1,5,Excellent
9.4,5,41,9,2,Needs Attention
9.7,4,68,9,1,Needs Attention
7.8,5,85,4,7,Excellent
9.0,5,68,7,2,Average
8.5,4,3,8,6,Needs Attention
4.2,3,6,3,5,Needs Attention
7.3,5,33,7,7,Average
6.7,8,55,6,1,Good
6.3,3,68,1,10,Good
4.4,2,89,2,6,Average
9.6,3,37,5,10,Good
4.5,9,48,7,1,Needs Attention
6.8,10,28,3,7,Excellent
8.8,10,37,3,5,Excellent
8.1,7,1,9,9,Average
4.8,2,0,10,10,Needs Attention
6.4,10,10,5,4,Average
8.5,7,27,7,9,Good
4.9,4,28,10,5,Needs Attention
5.2,4,85,10,1,Needs Attention
9.1,10,59,9,2,Average
5.7,3,32,2,4,Average
8.4,9,42,6,3,Good
8.0,5,12,5,10,Good
4.4,5,40,8,8,Average
6.0,6,88,10,3,Needs Attention
7.4,7,40,7,3,Average
4.0,5,28,7,5,Needs Attention
9.0,4,86,6,8,Good
6.8,7,39,8,9,Good
4.7,3,35,3,9,Average
5.2,3,9,1,9,Average
7.8,8,75,4,1,Good
7.3,10,69,8,3,Average
6.2,5,75,5,3,Average
6.8,10,11,7,6,Average
7.0,5,78,3,9,Excellent
4.8,4,22,10,10,Needs Attention
8.0,4,61,6,1,Average
5.3,9,29,2,5,Good
6.2,2,85,4,9,Good
9.4,7,49,8,8,Good
9.3,2,83,6,2,Average
8.2,10,81,5,5,Excellent
7.5,4,48,7,6,Average
7.5,3,66,5,7,Good
9.8,5,66,7,6,Average
8.9,7,62,8,10,Good
4.0,4,56,3,4,Average
4.5,6,27,3,3,Average
4.9,3,84,4,7,Average
8.9,3,61,8,8,Average
5.3,4,82,7,1,Needs Attention
5.5,4,73,10,3,Needs Attention
4.8,10,5,10,3,Needs Attention
4.3,6,23,9,7,Needs Attention
7.6,2,84,5,2,Average
5.3,9,61,3,4,Good
9.0,4,74,3,10,Excellent
8.0,6,21,6,8,Excellent
7.6,3,29,7,7,Average
4.8,2,25,9,9,Needs Attention
8.1,4,77,2,3,Average
6.9,2,68,9,2,Needs Attention
4.6,4,77,9,1,Needs Attention
9.4,8,66,7,6,Good
9.2,10,54,4,8,Excellent
8.7,8,44,10,10,Good
4.6,4,32,8,4,Needs Attention
9.5,3,36,10,9,Average
6.5,5,0,1,10,Good
7.1,10,0,7,4,Average
8.1,7,52,6,2,Good
4.9,6,33,9,7,Needs Attention
7.4,6,87,7,4,Average
6.5,10,61,3,6,Excellent
7.4,9,32,5,10,Excellent
6.1,8,17,2,4,Good
6.7,4,12,4,9,Average
6.4,7,70,10,1,Average
5.0,2,11,3,8,Average
9.6,8,11,2,5,Good
5.3,3,77,1,7,Average
9.6,8,78,9,5,Average
8.3,2,22,8,8,Average
4.1,10,36,4,1,Average
8.7,10,66,4,10,Excellent
5.0,2,46,4,1,Needs Attention
9.9,3,35,7,6,Needs Attention
8.0,8,75,4,9,Excellent
4.1,3,11,9,5,Needs Attention
8.4,10,74,6,6,Excellent
9.8,6,28,10,4,Average
6.7,8,73,1,5,Excellent
5.1,10,13,9,2,Needs Attention
7.0,7,14,9,5,Average
9.3,6,88,8,7,Average
7.4,5,43,8,8,Good
9.4,2,61,2,5,Good
4.4,5,86,4,6,Good
6.5,7,66,9,1,Average
8.2,6,31,5,2,Average
6.4,7,9,9,3,Needs Attention
6.9,7,27,10,5,Average
5.1,5,63,4,4,Average
8.4,6,26,4,4,Good
9.0,7,19,2,2,Average
9.5,9,78,1,9,Excellent
9.7,9,47,10,6,Good
7.0,6,62,3,9,Excellent
5.7,5,73,3,1,Average
